type,model,metric,mean,lb,ub
reg,dummy,mse,0.7497910510345261,0.6929842944737885,0.8133565950614055
reg,dummy,mae,0.6765899837184175,0.6462856603661875,0.7056032807388879
reg,linear,mse,0.5203467732287593,0.4709268387905297,0.5730476238411881
reg,linear,mae,0.553808451992525,0.5302463266502802,0.5782629327543239
reg,svm,mse,0.47925981253719313,0.4322564542878431,0.5274291076002385
reg,svm,mae,0.5204763066520787,0.49695180095302566,0.5447520810180596
reg,rf,mse,0.3442851318707285,0.30378418323760364,0.3898830158499345
reg,rf,mae,0.41109171404682276,0.3895342809364548,0.43381814381270895
reg,mlp,mse,0.5235761249603904,0.47546297671423804,0.5754569654439105
reg,mlp,mae,0.5625087871617828,0.5387286097657412,0.5870987211453401
clf,dummy,mse,1.5181053846153845,1.396923076923077,1.6407692307692308
clf,dummy,mae,0.9197653846153846,0.874576923076923,0.9623269230769231
clf,dummy,f1_score,0.3299915384615385,0.30538461538461537,0.35540384615384607
clf,linear,mse,0.6051038461538463,0.5522884615384616,0.6630961538461538
clf,linear,mae,0.4849976923076923,0.4530769230769231,0.5169230769230769
clf,linear,f1_score,0.5696907692307693,0.5415384615384615,0.5961538461538461
clf,svm,mse,0.56137,0.5061346153846153,0.6246346153846154
clf,svm,mae,0.44583307692307694,0.4138269230769231,0.4784807692307692
clf,svm,f1_score,0.605053076923077,0.5784615384615385,0.6315576923076923
clf,rf,mse,0.4159138461538462,0.36767307692307694,0.46923076923076923
clf,rf,mae,0.33439846153846153,0.30538461538461537,0.3646153846153846
clf,rf,f1_score,0.70174,0.676923076923077,0.7253846153846153
clf,mlp,mse,0.6048115384615385,0.5553461538461538,0.6592307692307692
clf,mlp,mae,0.49715,0.46690384615384617,0.5292307692307693
clf,mlp,f1_score,0.5505515384615385,0.5238461538461539,0.5761538461538461
