feature,mean,sd
fixed acidity,0.06570351664557897,0.008561559376121696
volatile acidity,0.10674857480663293,0.021697624355567675
citric acid,0.07718333557239818,0.014960466827426033
residual sugar,0.07345786235361863,0.009577668859919362
chlorides,0.08713945066964375,0.02892324295104137
free sulfur dioxide,0.08307788612443738,0.010996393695926811
total sulfur dioxide,0.08323626583853501,0.014964893088438961
density,0.10272839361238256,0.038978945726734666
pH,0.07101422409097126,0.009407454152636604
sulphates,0.07576982345641071,0.011042914549646326
alcohol,0.1686758253123356,0.056573576877144226
color,0.005264841517054965,0.004862427936161004
